#{"t_start": 1764556903.6738348, "env_id": "None"}
r,l,t
-190.834894,1987,8.424362
-177.657446,1925,19.735584
-253.833769,2225,33.132505
-211.307634,2296,50.400197
-230.540883,2475,216.995629
-248.579584,2526,230.458624
-236.57305,2642,244.540602
-266.072313,2974,262.088287
-257.311547,2706,423.490894
-257.17447,2571,437.1471
-241.361075,2355,451.62793
-234.447877,2642,465.486439
-158.175093,1925,623.894046
-206.785404,2740,638.347328
-227.609013,2378,651.211759
-307.424435,2998,668.707476
-257.489866,3382,834.18588
-228.608331,2706,850.363487
-230.445127,2598,864.292184
-244.324072,3099,1028.487072
-221.281478,2916,1045.714009
-218.450432,2461,1059.122268
-213.963994,2516,1072.462743
-270.533674,3152,1239.239941
-220.856056,2493,1252.613988
-228.914477,2378,1265.748046
-274.596243,3428,1434.220939
-239.852406,3099,1450.304506
-202.533024,3075,1468.5287
-363.738794,3734,1639.353859
-236.710495,3819,1660.940219
-258.754734,3437,1678.754071
-269.836626,2943,1846.063976
-276.708758,3372,1863.607078
-264.446113,2846,1881.139826
-232.952442,3017,1897.075628
-249.80894,2718,2064.836731
-219.448083,2308,2077.436079
-175.924374,2064,2089.027966
-203.345641,2387,2102.204795
-191.625477,1984,2264.248028
-156.014411,1969,2275.790348
-237.327694,2441,2289.076267
-236.339789,2484,2302.800277
-235.648419,3051,2473.256475
-229.953842,2516,2487.032995
-234.561118,2658,2501.821032
-232.433949,2768,2518.58174
-201.83234,2087,2682.350606
-217.245613,2889,2698.023381
-220.537035,2537,2711.904802
-272.06005,3003,2730.018812
-255.910763,2822,2898.371926
-199.59775,1956,2909.587704
-208.55571,2500,2923.335784
-220.609959,2403,2936.765756
-172.35556,1937,3101.207726
-215.309811,2738,3118.36238
-203.583367,2628,3132.9911
-218.7731,2159,3145.501985
-169.39534,2780,3315.059589
-164.142182,2200,3327.632504
-179.197481,2262,3342.46336
-176.354861,2145,3354.740177
-181.958624,2038,3521.773502
-188.786482,2168,3534.262661
-207.157209,2308,3547.548141
-215.349832,2077,3559.786099
-184.853459,2309,3573.034268
-174.839737,1700,3737.76149
-204.061632,2234,3750.607546
-233.27853,2705,3765.527904
-195.738178,3051,3784.43541
-221.819335,2823,3954.97159
-232.893044,2658,3970.143935
-186.952009,2259,3983.207932
-176.26403,1845,3994.26236
-210.567761,2791,4168.452214
-192.228076,2181,4181.242204
-208.556834,2217,4194.131723
-198.644645,2746,4209.727327
-198.593587,2192,4379.215854
-232.857094,2295,4392.839665
-196.527187,2085,4405.15702
-234.187114,2403,4421.216611
-199.889685,2442,4435.37142
-273.46544,2524,4606.982949
-226.388536,2598,4621.728863
-296.772993,2977,4640.769932
-282.489303,3003,4815.31181
-322.815298,2992,4833.910292
-282.410261,2910,4850.288779
-230.881316,2882,4868.873999
-261.661142,2827,5043.574799
-204.5853,2558,5058.538272
-243.059527,3129,5078.051275
-278.247574,3076,5255.391548
-252.133845,2803,5273.794113
-219.015687,2213,5287.056403
-227.713876,2668,5302.581578
-214.676154,2812,5480.321368
-255.946468,2962,5499.334157
-254.988332,2583,5514.413767
-226.505034,2571,5529.538799
-221.314602,2400,5705.197968
-212.568325,2307,5721.22817
-228.156354,2549,5736.132205
-203.604699,2577,5751.588882
-202.971275,2390,5928.298691
-186.550886,1966,5940.500362
-263.60274,2772,5959.220523
-310.087166,3356,6141.449027
-367.116324,4156,6167.113675
-290.123943,3812,6191.339566
-251.107447,3001,6375.734385
-297.786987,3776,6397.14371
-354.761987,4224,6422.597804
-201.833159,3771,6610.997184
-313.366848,3475,6633.483815
-250.223919,3610,6656.701248
-296.000584,3118,6839.501319
-269.118028,3250,6860.989463
-274.564423,2991,6878.792504
-268.111497,3317,7066.240395
-277.099416,3635,7089.676492
-360.669116,3602,7111.309537
-330.175536,3411,7299.843843
-286.656334,3510,7322.904532
-324.184556,2904,7340.459256
-345.762494,3494,7531.46497
-300.849335,3251,7552.977373
-273.634136,3268,7572.53439
-274.452195,2679,7757.085665
-284.423187,3740,7780.763299
-351.574814,3570,7804.324114
-366.298108,3318,7995.300832
-357.897108,4062,8021.464198
-365.03072,3560,8211.728281
-382.308906,3934,8237.167849
-331.945362,3604,8260.666358
-279.712798,2673,8447.969966
-300.992284,3042,8468.869509
-230.854607,2652,8485.434846
-286.047707,3287,8507.516313
-331.850766,3208,8698.93005
-356.475074,3738,8724.278417
-348.88957,3381,8920.010372
-313.249884,3104,8939.527627
-316.718469,2942,8959.982722
-277.381941,2844,8977.832045
-316.851427,3147,9173.440437
-349.57414,3560,9195.417741
-320.555155,3605,9219.577598
-337.31151,3860,9421.057278
-408.596592,4187,9448.629844
-295.117628,3234,9646.560391
-336.648825,3611,9668.876826
-337.951465,3448,9693.085044
-306.600642,3051,9892.845515
-275.321775,3008,9912.137907
-283.637884,2899,9931.149204
-283.90127,3123,9953.994984
-254.556735,2259,10150.81563
-282.739776,3182,10173.960818
-298.678716,2943,10193.245144
-304.816281,3097,10398.965528
-336.590606,3120,10419.212978
-371.258757,3454,10444.388554
-369.731731,3397,10650.006265
-410.644551,4656,10684.97965
-442.318491,5086,10903.890407
-424.102301,4496,10935.33103
